tn,AT
5.575,32.18226947
5.6,-230.6453052
5.625,-519.930973
5.65,-738.8225916
5.675,-873.4351651
5.7,-982.3496729
5.725,-1081.611166
5.75,-1107.960616
5.775,-1030.482652
5.8,-893.8740762
5.825,-699.8866662
5.85,-392.0327621
5.875,-18.37354623
5.9,263.8392969
5.925,403.0452996
5.95,498.9891037
5.975,606.655166
6,669.1919246
6.025,654.1245264
6.05,603.4658258
6.075,551.4809882
6.1,496.1215604
6.125,427.0047014
6.15,324.5483225
6.175,174.2850859
6.2,6.092620086
6.225,-120.8855634
6.25,-161.8245773
6.275,-87.16891547
6.3,108.2514815
6.325,365.8366863
6.35,597.6353444
6.375,775.858277
6.4,911.1916035
6.425,959.10895
6.45,867.9286842
6.475,706.2536571
6.5,603.0049473
6.525,566.5526302
6.55,493.7207652
6.575,333.479757
6.6,109.7601732
6.625,-176.3485996
6.65,-524.7088887
6.675,-847.2912608
6.7,-1026.976698
6.725,-1049.187034
6.75,-990.5609258
6.775,-909.6239887
6.8,-827.972218
6.825,-788.3294247
6.85,-838.6317013
6.875,-952.4027419
6.9,-1035.409477
6.925,-1023.194236
6.95,-917.8179102
6.975,-743.5431727
7,-540.0670927
7.025,-371.0869885
7.05,-256.8877468
7.075,-143.0930678
7.1,-3.801923638
7.125,112.0657657
7.15,197.8113778
7.175,327.4205152
7.2,521.0398211
7.225,705.1255627
7.25,837.1298766
7.275,938.8835302
7.3,1008.352378
7.325,1022.635517
7.35,1010.841418
7.375,1029.512951
7.4,1090.193453
7.425,1158.46712
7.45,1190.52176
7.475,1155.698023
7.5,1046.515733
7.525,863.1631067
7.55,603.7002524
7.575,297.6094019
7.6,1.294222341
7.625,-272.7937312
7.65,-548.3133727
7.675,-795.4728787
7.7,-956.9317073
7.725,-1053.695984
7.75,-1145.46217
7.775,-1222.172188
7.8,-1246.425213
7.825,-1235.616841
7.85,-1211.88598
7.875,-1159.35425
7.9,-1082.134566
7.925,-1004.569214
7.95,-910.9671533
7.975,-787.0522942
8,-677.3637603
8.025,-603.7481037
8.05,-498.9980364
8.075,-302.9100765
8.1,-43.33184215
8.125,234.1755013
8.15,535.6132948
8.175,865.2741511
8.2,1149.767234
8.225,1269.235809
8.25,1182.795241
8.275,989.6093108
8.3,813.5468278
8.325,668.3272521
8.35,513.2550001
8.375,374.8239033
8.4,308.8413834
8.425,310.317898
8.45,347.6307325
8.475,411.4351501
8.5,482.757491
8.525,531.4412524
8.55,547.3002905
8.575,509.0043042
8.6,383.2825626
8.625,212.4178135
8.65,102.9094984
8.675,85.75462393
8.7,95.50844039
8.725,87.55416869
8.75,60.71195328
8.775,-3.115649642
8.8,-111.6986235
8.825,-225.4541789
8.85,-327.686187
8.875,-460.6177316
8.9,-635.1592507
8.925,-782.4039477
8.95,-834.7094477
8.975,-794.0346149
9,-707.6290761
9.025,-627.3227468
9.05,-589.7632068
